wl,Throughput(ops/sec),[READ-MODIFY-WRITE]-AverageLatency(us),RunTime(ms),ram,n,t,dbs
a, 1302.3525370641391, 761.795765, 1302.3525370641391,2GB,3,3,800
f, 2960.386330416119, 332.76933125, 2960.386330416119,2GB,1,5,800
c, 876.7745917737501, 1133.415249, 876.7745917737501,1GB,3,3,1000
c, 534.2165713980447, 2210816.0, 534.2165713980447,1GB,1,4,800
a, 2802.3450022979227, 349.527632, 2802.3450022979227,1GB,1,3,500
c, 916.1670502352717, 1084.486341, 916.1670502352717,1GB,3,5,1000
a, 211.36286777138992, 2648.7319943193347, 211.36286777138992,1GB,6,1,800
a, 334.90739810442415, 1645.1238228811862, 334.90739810442415,1GB,3,3,800
a, 326.9149040504757, 1312.6590315451074, 326.9149040504757,1GB,6,3,1000
f, 243.00155520995335, 1935.87940517417, 243.00155520995335,1GB,6,3,800
c, 1880.0950576061125, 527.008827, 1880.0950576061125,1GB,1,4,1000
c, 873.6752898417774, 1133.844702, 873.6752898417774,1GB,3,5,500
a, 648.3050469737526, 1533.8017125, 648.3050469737526,1GB,6,3,800
a, 331.78500331785006, 1370.5706403940887, 331.78500331785006,1GB,6,2,800
f, 196.80003148800503, 2728.1535244922343, 196.80003148800503,1GB,6,5,500
a, 267.4154298703035, 1938.9175257731958, 267.4154298703035,1GB,3,4,1000
a, 440.0052800633608, 781.6707219784603, 440.0052800633608,1GB,3,2,1000
c, 1755.290555439755, 563.8459125, 1755.290555439755,1GB,1,4,800
f, 387.71712158808936, 902.2494481236203, 387.71712158808936,1GB,3,1,500
a, 248.20670654521086, 1124.568583621215, 248.20670654521086,1GB,1,1,500
f, 472.5227992250626, 368.29382169450594, 472.5227992250626,1GB,1,5,1000
a, 1505.9038962251507, 658.178689, 1505.9038962251507,1GB,1,1,1000
a, 952.5623928367309, 1039.818574, 952.5623928367309,1GB,3,1,500
f, 1766.378746930917, 560.58546125, 1766.378746930917,1GB,1,2,800
a, 505.1525560719337, 1355.5587822952134, 505.1525560719337,1GB,6,3,500
f, 426.4574182267901, 377.2953112687155, 426.4574182267901,1GB,1,1,500
f, 646.8928764803335, 1538.477768, 646.8928764803335,1GB,6,5,1000
a, 1761.03231714431, 562.280555, 1761.03231714431,1GB,1,5,800
a, 237.94793699138629, 2357.564045847577, 237.94793699138629,1GB,6,4,1000
f, 658.8966281788673, 1509.50948, 658.8966281788673,1GB,6,2,800
c, 1074.5567789085997, 923.97872, 1074.5567789085997,1GB,3,5,800
f, 953.5179089733664, 1042.414593, 953.5179089733664,1GB,3,4,1000
f, 455.6431402925229, 387.1367453018793, 455.6431402925229,1GB,1,4,500
f, 941.0949828344275, 1056.638034, 941.0949828344275,1GB,3,3,1000
f, 422.17249968337063, 759.9366838148002, 422.17249968337063,1GB,3,2,500
c, 1740.8220596971405, 568.555445, 1740.8220596971405,1GB,1,1,800
f, 655.3407403220508, 1517.83217625, 655.3407403220508,1GB,6,5,800
c, 688.3648443813596, 1442.216226, 688.3648443813596,1GB,6,4,500
a, 520.9961446285298, 379.53006456820015, 520.9961446285298,1GB,1,2,1000
c, 490.02793159210074, 2231296.0, 490.02793159210074,1GB,6,3,500
f, 1569.449719539335, 631.2415, 1569.449719539335,1GB,1,2,1000
a, 335.9876356550079, 2209.0921079326436, 335.9876356550079,1GB,6,4,500
c, 636.8169342359153, 1562.146785, 636.8169342359153,1GB,6,2,800
a, 1747.9996329200771, 566.46409125, 1747.9996329200771,1GB,1,3,800
a, 1758.7983889406757, 562.55699625, 1758.7983889406757,1GB,1,4,800
c, 954.2303416621738, 1041.1544425, 954.2303416621738,1GB,3,1,800
f, 1801.1819355861317, 550.122716, 1801.1819355861317,1GB,1,5,1000
f, 610.4232827648513, 1629.970035, 610.4232827648513,1GB,6,1,800
f, 311.36158420774046, 1280.47412755716, 311.36158420774046,1GB,6,4,800
a, 521.1590577444236, 808.1247247247247, 521.1590577444236,1GB,3,3,500
f, 449.3776120073698, 433.11403336604513, 449.3776120073698,1GB,1,4,800
f, 499.20127795527156, 380.99564787339267, 499.20127795527156,1GB,1,5,500
c, 1580.390514496132, 627.2775, 1580.390514496132,1GB,1,5,1000
f, 1790.466215021564, 552.276725, 1790.466215021564,1GB,1,1,800
c, 561.0098176718093, 2210816.0, 561.0098176718093,1GB,1,3,800
a, 657.5086667861141, 1512.02556, 657.5086667861141,1GB,6,5,800
a, 947.5709019927416, 1049.398378, 947.5709019927416,1GB,3,2,1000
a, 635.9559307978194, 1564.752383, 635.9559307978194,1GB,6,5,1000
c, 606.8007190588521, 1639.21905625, 606.8007190588521,1GB,6,3,800
a, 552.4251463926638, 369.09513492219816, 552.4251463926638,1GB,1,5,800
c, 591.3758477372777, 1680.502908, 591.3758477372777,1GB,6,3,500
c, 522.9305025362129, 2208768.0, 522.9305025362129,1GB,1,4,1000
a, 404.0567295648309, 1313.0022155085599, 404.0567295648309,1GB,6,3,800
f, 615.7423143044329, 1612.362556, 615.7423143044329,1GB,6,4,500
a, 953.4285887945922, 1042.29335625, 953.4285887945922,1GB,3,5,800
f, 1568.524112921188, 628.096382, 1568.524112921188,1GB,1,2,500
a, 850.0155977862194, 1169.636385, 850.0155977862194,1GB,3,1,1000
a, 437.4261843313941, 965.3584867489379, 437.4261843313941,1GB,3,2,500
a, 859.6382642184169, 1152.78775, 859.6382642184169,1GB,3,2,500
a, 964.8300162477375, 1027.444334, 964.8300162477375,1GB,3,5,500
f, 208.79878061512122, 1893.0514545814367, 208.79878061512122,1GB,6,2,1000
f, 171.3296897219319, 2556.2491419341814, 171.3296897219319,1GB,6,5,1000
a, 556.2353988207809, 377.8175889328063, 556.2353988207809,1GB,1,3,1000
c, 438.5580212262082, 2212864.0, 438.5580212262082,1GB,3,5,1000
c, 552.3336095001381, 2210816.0, 552.3336095001381,1GB,3,2,800
c, 521.1318984835061, 2210816.0, 521.1318984835061,1GB,1,2,800
c, 821.6670309390504, 1206.72871, 821.6670309390504,1GB,3,4,500
a, 228.50353037954437, 2621.3736263736264, 228.50353037954437,1GB,3,5,1000
a, 1817.7191260406441, 541.822728, 1817.7191260406441,1GB,1,1,500
f, 892.7345911219777, 1113.09802, 892.7345911219777,1GB,3,3,800
f, 886.7103401066181, 1117.814138, 886.7103401066181,1GB,3,1,500
c, 390.2591320636903, 2212864.0, 390.2591320636903,1GB,3,5,800
f, 1445.8723236903288, 683.787716, 1445.8723236903288,1GB,1,3,500
c, 634.98866942093, 1565.53735625, 634.98866942093,1GB,6,1,800
a, 614.3283486731121, 1617.052846, 614.3283486731121,1GB,6,4,500
c, 338.3522246658772, 2210816.0, 338.3522246658772,1GB,1,1,800
f, 172.06965379585657, 2618.746901239504, 172.06965379585657,1GB,3,1,1000
a, 1435.4987353256142, 688.716748, 1435.4987353256142,1GB,1,5,500
a, 947.9463689862282, 1046.274448, 947.9463689862282,1GB,3,3,500
c, 436.1479413817167, 2208768.0, 436.1479413817167,1GB,1,1,500
f, 481.3014390913029, 360.2894361897008, 481.3014390913029,1GB,1,5,800
f, 358.32019492618605, 755.0447342026079, 358.32019492618605,1GB,3,3,1000
a, 1422.3132502702395, 694.496286, 1422.3132502702395,1GB,1,4,500
a, 1879.6745155608855, 527.203955, 1879.6745155608855,1GB,1,3,1000
c, 1464.2403228357064, 675.051856, 1464.2403228357064,1GB,1,1,500
c, 329.1205897840969, 2229248.0, 329.1205897840969,1GB,6,2,500
f, 918.4929367893161, 1081.39499375, 918.4929367893161,1GB,3,5,800
a, 539.0254420008624, 381.1032740501213, 539.0254420008624,1GB,1,3,800
f, 1030.2600247519972, 963.67258875, 1030.2600247519972,1GB,3,1,800
a, 561.324726354196, 382.8245192307692, 561.324726354196,1GB,1,2,800
c, 226.3160277010818, 2245632.0, 226.3160277010818,1GB,6,2,800
a, 1722.6788517484113, 574.614995, 1722.6788517484113,1GB,1,1,800
c, 369.30349361104953, 2257920.0, 369.30349361104953,1GB,6,4,500
f, 648.719622081897, 1534.472944, 648.719622081897,1GB,6,2,1000
a, 624.4146113019044, 396.85820895522386, 624.4146113019044,1GB,1,2,500
f, 1466.2326617987742, 673.145674, 1466.2326617987742,1GB,1,5,500
c, 208.54187520854188, 2268160.0, 208.54187520854188,1GB,6,3,1000
c, 1438.4101540249592, 687.371812, 1438.4101540249592,1GB,1,4,500
a, 1763.034888256645, 561.7112975, 1763.034888256645,1GB,1,2,800
a, 329.4784356363876, 1585.2833565321137, 329.4784356363876,1GB,3,5,500
f, 265.76660376857046, 1302.3234821069561, 265.76660376857046,1GB,1,1,800
c, 951.469354123573, 1044.868153, 951.469354123573,1GB,3,4,1000
a, 897.8937656991113, 1106.95424375, 897.8937656991113,1GB,3,4,800
c, 1433.0794871868363, 689.84869, 1433.0794871868363,1GB,1,3,500
a, 617.1567096660318, 1610.219316, 617.1567096660318,1GB,6,2,500
c, 424.68254979402894, 2227200.0, 424.68254979402894,1GB,6,5,800
f, 438.1736920515292, 743.2956349206349, 438.1736920515292,1GB,3,5,800
a, 341.7518198284406, 2318.0123307054782, 341.7518198284406,1GB,6,1,500
c, 342.2664886880925, 2219008.0, 342.2664886880925,1GB,6,5,1000
f, 363.24010170722846, 770.2308463698355, 363.24010170722846,1GB,3,4,1000
c, 1891.6715377208764, 523.731903, 1891.6715377208764,1GB,1,1,1000
a, 651.7961546634059, 1527.111059, 651.7961546634059,1GB,6,1,1000
f, 211.3271344040575, 2200.052578565673, 211.3271344040575,1GB,3,3,500
c, 528.8766659614978, 2208768.0, 528.8766659614978,1GB,1,5,800
c, 304.1455032087351, 2221056.0, 304.1455032087351,1GB,6,1,500
f, 943.2502895778389, 1053.658899, 943.2502895778389,1GB,3,2,1000
f, 621.9624906861117, 1599.435093, 621.9624906861117,1GB,6,3,1000
c, 938.130306299545, 1056.964032, 938.130306299545,1GB,3,2,500
c, 1762.4716902984746, 561.86932625, 1762.4716902984746,1GB,1,2,800
a, 326.797385620915, 1200.5746615477874, 326.797385620915,1GB,6,1,1000
f, 919.9632014719411, 1077.161216, 919.9632014719411,1GB,3,5,500
f, 513.6370640505419, 371.02854330708664, 513.6370640505419,1GB,1,3,500
f, 175.87365236813872, 2793.4365686669353, 175.87365236813872,1GB,6,5,800
c, 1891.9041637026835, 523.679854, 1891.9041637026835,1GB,1,2,1000
a, 1891.0312171433327, 524.036477, 1891.0312171433327,1GB,1,5,1000
a, 1447.647283634637, 682.786944, 1447.647283634637,1GB,1,2,500
f, 540.2193290475933, 355.99861193733886, 540.2193290475933,1GB,1,3,800
a, 387.97284190106694, 1362.919727072045, 387.97284190106694,1GB,6,5,800
f, 1884.4315800581912, 525.785631, 1884.4315800581912,1GB,1,3,1000
c, 931.3232893220991, 1067.733747, 931.3232893220991,1GB,3,1,1000
c, 331.5979706204198, 2223104.0, 331.5979706204198,1GB,6,2,1000
c, 482.7419744146754, 2212864.0, 482.7419744146754,1GB,3,2,500
a, 453.22697606961566, 389.0243607811556, 453.22697606961566,1GB,1,1,800
c, 258.03787996077824, 2212864.0, 258.03787996077824,1GB,1,5,1000
c, 2799.9440011199777, 349.905374, 2799.9440011199777,1GB,1,5,500
c, 515.6233886769104, 2210816.0, 515.6233886769104,1GB,1,3,500
c, 217.54737094002218, 2235392.0, 217.54737094002218,1GB,1,2,1000
a, 238.83448770002389, 2409.225109083697, 238.83448770002389,1GB,3,3,1000
f, 662.0762711864406, 1500.13878, 662.0762711864406,1GB,6,3,500
a, 397.75665248001275, 1232.7473979183346, 397.75665248001275,1GB,3,1,800
c, 630.728592440844, 1577.727244, 630.728592440844,1GB,6,1,1000
c, 1745.5776880259916, 567.29174, 1745.5776880259916,1GB,1,5,800
a, 309.936621257376, 2374656.0, 309.936621257376,1GB,6,1,500
a, 395.41320680110715, 405.5836475491169, 395.41320680110715,1GB,1,1,1000
a, 865.1162629745811, 1149.388039, 865.1162629745811,1GB,3,4,1000
c, 955.2722430365429, 1037.97421, 955.2722430365429,1GB,3,3,500
f, 336.28140027575074, 1236.1672669067627, 336.28140027575074,1GB,6,2,500
f, 1751.9424662094098, 564.969005, 1751.9424662094098,1GB,1,4,800
c, 700.0095201294738, 1417.54479, 700.0095201294738,1GB,6,2,500
a, 536.7686527106817, 373.5377565252042, 536.7686527106817,1GB,1,4,500
f, 614.7929953560074, 1618.220095, 614.7929953560074,1GB,6,3,800
c, 844.9000145322802, 1173.721906, 844.9000145322802,1GB,3,1,500
f, 836.1399765211895, 1186.33992, 836.1399765211895,1GB,3,3,500
a, 613.9383654996108, 1617.139344, 613.9383654996108,1GB,6,3,500
a, 1911.2090499570934, 518.446194, 1911.2090499570934,1GB,1,2,1000
a, 257.8449320578604, 2125.164456758361, 257.8449320578604,1GB,6,2,1000
f, 408.39663481172914, 752.8539102818579, 408.39663481172914,1GB,3,4,800
f, 383.4944009817457, 1243.0460957679315, 383.4944009817457,1GB,6,4,500
c, 512.610211195407, 2208768.0, 512.610211195407,1GB,1,1,1000
c, 290.5709719599012, 2229248.0, 290.5709719599012,1GB,6,1,800
f, 571.0370031978072, 366.48036906164117, 571.0370031978072,1GB,1,2,800
c, 422.54711400321133, 2210816.0, 422.54711400321133,1GB,3,4,1000
f, 1870.246068275203, 529.819407, 1870.246068275203,1GB,1,1,1000
a, 918.4127990007669, 1082.801313, 918.4127990007669,1GB,3,5,1000
f, 644.9286999075817, 1542.933154, 644.9286999075817,1GB,6,4,1000
c, 255.63679124699627, 2227200.0, 255.63679124699627,1GB,3,5,500
f, 341.02922620468576, 770.5870300377959, 341.02922620468576,1GB,3,2,1000
a, 514.0595280933533, 389.2396, 514.0595280933533,1GB,1,5,500
f, 471.8984474541079, 366.6751693901953, 471.8984474541079,1GB,1,3,1000
f, 658.1561590664713, 1510.52706875, 658.1561590664713,1GB,6,4,800
a, 457.64495904077614, 868.6046511627907, 457.64495904077614,1GB,3,4,800
a, 346.6805338880222, 1427.3834392374902, 346.6805338880222,1GB,3,4,500
f, 255.57145777959516, 1547.321299638989, 255.57145777959516,1GB,6,2,800
f, 630.618415949601, 1577.959406, 630.618415949601,1GB,6,1,1000
c, 879.4214286420963, 1130.15348, 879.4214286420963,1GB,3,2,800
c, 200.93232599260568, 2253824.0, 200.93232599260568,1GB,6,1,1000
f, 1898.6068023284513, 521.854882, 1898.6068023284513,1GB,1,4,1000
c, 1896.7917664063004, 522.3643, 1896.7917664063004,1GB,1,3,1000
f, 423.01184433164127, 784.0873301358913, 423.01184433164127,1GB,3,5,500
f, 361.20642947444463, 779.2015659506123, 361.20642947444463,1GB,3,5,1000
c, 2775.7268240688823, 352.630538, 2775.7268240688823,1GB,1,2,500
a, 341.78686171303576, 1283.2499505635753, 341.78686171303576,1GB,6,5,1000
a, 545.3157378121932, 400.82815024232633, 545.3157378121932,1GB,1,5,1000
f, 616.9366381395165, 1610.480272, 616.9366381395165,1GB,6,1,500
c, 920.2404588318927, 1079.16764625, 920.2404588318927,1GB,3,3,800
c, 1069.2028157456152, 928.84806625, 1069.2028157456152,1GB,3,4,800
c, 287.23251472066636, 2214912.0, 287.23251472066636,1GB,3,2,1000
f, 424.48425163426435, 369.3581650656734, 424.48425163426435,1GB,1,2,1000
c, 594.187656345627, 1672.310604, 594.187656345627,1GB,6,5,500
a, 412.0482920598294, 1157.4646750100928, 412.0482920598294,1GB,3,1,500
a, 531.7451877060513, 1353.5558918482648, 531.7451877060513,1GB,6,5,500
c, 380.50302499904876, 2216960.0, 380.50302499904876,1GB,6,3,800
a, 287.2572676088705, 2181.9514932852276, 287.2572676088705,1GB,6,2,500
a, 608.6894991170197, 1634.30192625, 608.6894991170197,1GB,6,2,800
f, 943.9590397293481, 1050.482766, 943.9590397293481,1GB,3,2,500
a, 600.6727534839019, 384.69929364278505, 600.6727534839019,1GB,1,4,800
c, 239.51522119230677, 2221056.0, 239.51522119230677,1GB,3,1,500
c, 638.6071212357303, 1557.999252, 638.6071212357303,1GB,6,4,1000
a, 612.1453306472396, 1625.578014, 612.1453306472396,1GB,6,2,1000
a, 384.1868684928349, 1275.7808246597278, 384.1868684928349,1GB,6,4,800
f, 957.4710508627771, 1038.607609, 957.4710508627771,1GB,3,5,1000
c, 610.970121269932, 1628.07632625, 610.970121269932,1GB,6,5,800
f, 939.1752538590711, 1055.655332, 939.1752538590711,1GB,3,4,500
c, 292.4062107079154, 2223104.0, 292.4062107079154,1GB,3,4,500
a, 524.824183898394, 369.6313272220008, 524.824183898394,1GB,1,4,1000
a, 947.7199752834631, 1046.435302, 947.7199752834631,1GB,3,4,500
a, 606.4856054432083, 1640.3124, 606.4856054432083,1GB,6,4,800
a, 280.0179211469534, 2310.8302908726178, 280.0179211469534,1GB,3,5,800
f, 257.36051060325303, 1239.1083984375, 257.36051060325303,1GB,6,1,1000
a, 390.45722541095626, 917.5768316831683, 390.45722541095626,1GB,3,1,1000
f, 274.98968788670425, 1221.1458, 274.98968788670425,1GB,6,3,1000
f, 168.5431133283894, 2574.9594051446948, 168.5431133283894,1GB,6,1,500
a, 619.0455555624338, 1607.646752, 619.0455555624338,1GB,6,4,1000
f, 1748.3663701728697, 566.29254875, 1748.3663701728697,1GB,1,3,800
f, 420.83999663328, 823.524154589372, 420.83999663328,1GB,3,2,800
c, 501.57997692732107, 2233344.0, 501.57997692732107,1GB,6,5,500
f, 206.44521976093642, 2662.726962457338, 206.44521976093642,1GB,6,3,500
c, 626.363515076883, 1589.066252, 626.363515076883,1GB,6,3,1000
f, 911.9203492290169, 1090.465512, 911.9203492290169,1GB,3,1,1000
c, 849.5426062607892, 1170.919859, 849.5426062607892,1GB,3,2,1000
c, 650.7489143881236, 1529.22047, 650.7489143881236,1GB,6,5,1000
c, 408.26324814240223, 2208768.0, 408.26324814240223,1GB,3,1,1000
f, 446.68780988966813, 362.2778668805132, 446.68780988966813,1GB,1,1,1000
c, 253.4789992649109, 2229248.0, 253.4789992649109,1GB,3,1,800
a, 1432.8043419702778, 692.137433, 1432.8043419702778,1GB,1,4,1000
c, 317.5207976122436, 2221056.0, 317.5207976122436,1GB,1,2,500
a, 614.8548942449582, 373.8117764471058, 614.8548942449582,1GB,1,3,500
f, 417.7458434288579, 739.2670707070707, 417.7458434288579,1GB,3,3,800
c, 644.8459398565088, 1542.889333, 644.8459398565088,1GB,6,2,1000
a, 874.216619950716, 1136.85366, 874.216619950716,1GB,3,2,800
a, 896.1998884231139, 1108.9937225, 896.1998884231139,1GB,3,1,800
f, 271.59152634437805, 1667.6917973462002, 271.59152634437805,1GB,3,1,800
f, 675.0371270419873, 1471.385086, 675.0371270419873,1GB,6,5,500
c, 510.673067102441, 2212864.0, 510.673067102441,1GB,1,5,500
f, 487.92388387411563, 365.04716790969564, 487.92388387411563,1GB,1,2,500
f, 2774.694783573807, 353.206804, 2774.694783573807,1GB,1,4,500
a, 659.2522760684831, 1508.44271875, 659.2522760684831,1GB,6,1,800
f, 393.8093175284527, 827.5124752475248, 393.8093175284527,1GB,3,4,500
c, 518.3764449743404, 2210816.0, 518.3764449743404,1GB,1,3,1000
c, 261.6088947024199, 2239488.0, 261.6088947024199,1GB,3,4,800
c, 550.8603888413313, 1804.678214, 550.8603888413313,1GB,6,1,500
f, 218.39306383629255, 1860.4044059795438, 218.39306383629255,1GB,6,4,1000
a, 493.19392385085814, 790.4824491424013, 493.19392385085814,1GB,3,2,800
c, 427.42349119507605, 2210816.0, 427.42349119507605,1GB,3,3,1000
c, 367.8363863753402, 2214912.0, 367.8363863753402,1GB,3,3,500
f, 258.01124929046904, 1290.3410852713178, 258.01124929046904,1GB,6,1,800
a, 639.5783899253612, 1555.972064, 639.5783899253612,1GB,6,3,1000
c, 1751.060486006838, 565.56822375, 1751.060486006838,1GB,1,3,800
c, 520.3184348821479, 2208768.0, 520.3184348821479,1GB,1,4,500
c, 642.2705548655607, 1547.84072625, 642.2705548655607,1GB,6,4,800
f, 515.1983513652756, 365.99840605698347, 515.1983513652756,1GB,1,4,1000
c, 355.7705991176889, 2216960.0, 355.7705991176889,1GB,6,4,1000
a, 915.8716900397122, 1085.501071, 915.8716900397122,1GB,3,3,1000
f, 2745.9853693899518, 356.828048, 2745.9853693899518,1GB,1,1,500
c, 247.51249938121876, 2239488.0, 247.51249938121876,1GB,6,4,800
a, 611.6148098856524, 1623.717368, 611.6148098856524,1GB,6,5,500
f, 876.1007384434099, 1134.40894375, 876.1007384434099,1GB,3,2,800
c, 518.3495749533486, 2210816.0, 518.3495749533486,1GB,3,3,800
f, 971.9932300671526, 1021.1486325, 971.9932300671526,1GB,3,4,800
f, 600.9203696381378, 1652.675044, 600.9203696381378,1GB,6,2,500
a, 1062.9491790710622, 933.668715, 1062.9491790710622,1GB,3,3,800
f, 1742.9004041350313, 568.25143125, 1742.9004041350313,1GB,1,5,800
